front,back
"Soit (E,T) un ensemble muni d'une loi de composition interne possédant un élément neutre e [$] \in [/$] E, on dit que x [$] \in [/$] E est {{c1::symétrisable pour la loi T}} si {{c2::il existe x<sup>-1</sup>[$] \in [/$] E&nbsp;tel que xTx<sup>-1 </sup>= e = x<sup>-1</sup>Tx}}",
"Soit (E,T) un ensemble muni d'une loi de composition interne possédant un élément neutre e [$] \in [/$] E, on dit que x [$] \in [/$] E est {{c1::symétrisable pour la loi T}} si {{c2::il existe x<sup>-1</sup>[$] \in [/$] E&nbsp;tel que xTx<sup>-1 </sup>= e = x<sup>-1</sup>Tx}}",
"Soit {{c1::(E,T) un ensemble muni d'une loi de composition interne associative et qui possède un élément neutre.}} Si x [$] \in[/$] E possède un symétrique pour la loi T, celui-ci est unique.",
"Soit {{c1::(E,T) un ensemble muni d'une loi de composition interne associative et qui possède un élément neutre.}}&nbsp;<div>Si {{c2::&nbsp;x [$] \in[/$] E et y [$] \in[/$] E sont symétrisable}},<div>alors &nbsp;xTy est symétrisable et (xTy)<sup>-1</sup>={{c3::y<sup>-1</sup>Tx<sup>-1</sup>}}</div></div>",
"Soit {{c1::(E,T) un ensemble muni d'une loi de composition interne associative et qui possède un élément neutre.}}&nbsp;<div>Si {{c2::&nbsp;x [$] \in[/$] E et y [$] \in[/$] E sont symétrisable}},<div>alors &nbsp;xTy est symétrisable et (xTy)<sup>-1</sup>={{c3::y<sup>-1</sup>Tx<sup>-1</sup>}}</div></div>",
"Soit {{c1::(E,T) un ensemble muni d'une loi de composition interne associative et qui possède un élément neutre.}}&nbsp;<div>Si {{c2::&nbsp;x [$] \in[/$] E et y [$] \in[/$] E sont symétrisable}},<div>alors &nbsp;xTy est symétrisable et (xTy)<sup>-1</sup>={{c3::y<sup>-1</sup>Tx<sup>-1</sup>}}</div></div>",
"Soit (E,T) un ensemble muni d'une loi de composition interne. On dit que a [$] \in[/$] E est {{c2::régulier à droite}} si&nbsp;<div><br /><div>{{c1::[$]&nbsp;\forall(x,y) \in E^{2}, &nbsp;aTx=aTy \Longrightarrow x=y[/$]}}</div></div>",
"Soit (E,T) un ensemble muni d'une loi de composition interne. On dit que a [$] \in[/$] E est {{c2::régulier à droite}} si&nbsp;<div><br /><div>{{c1::[$]&nbsp;\forall(x,y) \in E^{2}, &nbsp;aTx=aTy \Longrightarrow x=y[/$]}}</div></div>",
"Soit (E,T) un ensemble muni d'une loi de composition interne possédant un élément neutre. Si {{c1::T est associative et a [$] \in[/$] E symétrisable}}, alors {{c2::a est régulier.&nbsp;}}",
"Soit (E,T) un ensemble muni d'une loi de composition interne possédant un élément neutre. Si {{c1::T est associative et a [$] \in[/$] E symétrisable}}, alors {{c2::a est régulier.&nbsp;}}",
"Soit I un intervalle de&nbsp;[$]&nbsp;&nbsp;\mathbb{R}[/$] et [$] f: I &nbsp; \longrightarrow \mathbb{R}&nbsp;[/$]&nbsp;continue et strictement monotone sur I. Alors, f induit une bijection de I sur f(I) et f<sup>-1 </sup>est {{c1::continue sur f(I), strictement monotone de même sens de variation que f.&nbsp;}} (variations)&nbsp;",
"Soient {{c1::I, J deux intervalles de&nbsp;[$] &nbsp;\mathbb{R} [/$] et&nbsp;[$] f: I &nbsp;\longrightarrow &nbsp;J [/$] continue strictement monotone telle que J = f(I) : f est une bijection de I sur J}}. Si, de plus {{c2::f est dérivable sur I et si f' ne s'annule pas sur I}}, alors&nbsp;{{c3::f<sup>-1</sup>&nbsp;est dérivable sur J et&nbsp;<div><br /></div><div>[$]\forall y \in J, (f^{-1})'(y) = &nbsp;\frac{1}{f'(f^{-1}(y))}&nbsp;[/$]</div>}}",
"Soient {{c1::I, J deux intervalles de&nbsp;[$] &nbsp;\mathbb{R} [/$] et&nbsp;[$] f: I &nbsp;\longrightarrow &nbsp;J [/$] continue strictement monotone telle que J = f(I) : f est une bijection de I sur J}}. Si, de plus {{c2::f est dérivable sur I et si f' ne s'annule pas sur I}}, alors&nbsp;{{c3::f<sup>-1</sup>&nbsp;est dérivable sur J et&nbsp;<div><br /></div><div>[$]\forall y \in J, (f^{-1})'(y) = &nbsp;\frac{1}{f'(f^{-1}(y))}&nbsp;[/$]</div>}}",
"Soient {{c1::I, J deux intervalles de&nbsp;[$] &nbsp;\mathbb{R} [/$] et&nbsp;[$] f: I &nbsp;\longrightarrow &nbsp;J [/$] continue strictement monotone telle que J = f(I) : f est une bijection de I sur J}}. Si, de plus {{c2::f est dérivable sur I et si f' ne s'annule pas sur I}}, alors&nbsp;{{c3::f<sup>-1</sup>&nbsp;est dérivable sur J et&nbsp;<div><br /></div><div>[$]\forall y \in J, (f^{-1})'(y) = &nbsp;\frac{1}{f'(f^{-1}(y))}&nbsp;[/$]</div>}}",
"[$]\forall x \in[/$] {{c1::]-1 , 1[ }} ,<div><br /></div><div>[$] arcsin' (x) =&nbsp;{{c2:: \frac{1}{ \sqrt{1-x^{2} } } }} &nbsp;[/$]</div>",
"[$]\forall x \in[/$] {{c1::]-1 , 1[ }} ,<div><br /></div><div>[$] arcsin' (x) =&nbsp;{{c2:: \frac{1}{ \sqrt{1-x^{2} } } }} &nbsp;[/$]</div>",
"[$]\forall x \in {{c1::[-1 , 1]}}[/$] , sin(arcsin(x)) = x",
"[$]\forall x \in {{c1::[-&nbsp;\frac{ \pi }{ 2 }&nbsp; , &nbsp;\frac{ \pi }{ 2 }&nbsp;]}}[/$] &nbsp;, arcsin(sin(x)) = x",
Arcsin paire ou impaire ?&nbsp;,impaire
"[$]\forall x \in {{c1::[-1 , 1] }}[/$] , &nbsp;<div><br /></div><div>[$] cos(arcsin(x)) =&nbsp;&nbsp;{{c2:: &nbsp; \sqrt{1-x^{2} } &nbsp;}} [/$]</div>",
"[$]\forall x \in {{c1::[-1 , 1] }}[/$] , &nbsp;<div><br /></div><div>[$] cos(arcsin(x)) =&nbsp;&nbsp;{{c2:: &nbsp; \sqrt{1-x^{2} } &nbsp;}} [/$]</div>",
"[$]\forall x \in {{c1::[-1 , 1] }}[/$] ,&nbsp;<div><br /></div><div>[$] sin(arccos(x)) =&nbsp;&nbsp;{{c2:: \sqrt{1-x^{2} &nbsp;} }}&nbsp;[/$]&nbsp;</div>",
"[$]\forall x \in {{c1::[-1 , 1] }}[/$] ,&nbsp;<div><br /></div><div>[$] sin(arccos(x)) =&nbsp;&nbsp;{{c2:: \sqrt{1-x^{2} &nbsp;} }}&nbsp;[/$]&nbsp;</div>",
"[$]\forall x \in {{c1::[-1 , 1] }} [/$] , &nbsp;cos(arccos(x)) = x&nbsp;",
"[$]\forall x \in {{c1::[-1 , 1]}}[/$] , &nbsp;<div><br /></div><div>[$] arccos(x) + arcsin(x) = {{c2::\frac{\pi}{2} }}&nbsp;[/$]</div>",
"[$]\forall x \in {{c1::[-1 , 1]}}[/$] , &nbsp;<div><br /></div><div>[$] arccos(x) + arcsin(x) = {{c2::\frac{\pi}{2} }}&nbsp;[/$]</div>",
"arccos est dérivable sur {{c1::]-1 , 1[}} &nbsp;",
"[$$]\forall x \in ] -1, 1[, arcos'(x) = {{c1::&nbsp;-&nbsp;\frac{1}{ \sqrt{1-x^{2} } } }}[/$$]",
"arccos est paire, impaire ?&nbsp;",ni l'un ni l'autre&nbsp;
arctan est dérivable sur {{c1::[$] \mathbb{R} [/$]&nbsp;}},
"[$]\forall x \in \mathbb{R}, [/$]<div><br /></div><div>&nbsp; [$]arctan'(x) = {{c1::\frac{1}{1+x^{2} } }}&nbsp;[/$]</div><!--anki-->",
"[$]\forall x \in&nbsp;[/$] {{c1::[$]\mathbb{R}[/$]}}, tan(arctan(x)) = x",
"[$]\forall x \in&nbsp;{{c1::\mathbb{R} }}, cos(arctan(x)) = {{c2::\frac{1}{\sqrt{1+x^{2} } } }} [/$]",
"[$]\forall x \in&nbsp;{{c1::\mathbb{R} }}, cos(arctan(x)) = {{c2::\frac{1}{\sqrt{1+x^{2} } } }} [/$]",
"[$]\forall x \in [/$] {{c1::[$]\mathbb{R}[/$]}},<div><br /><div>[$] sin(arctan(x)) = &nbsp;{{c2:: \frac{x}{\sqrt{1+x^{2} } } }} &nbsp;[/$]</div></div>",
"[$]\forall x \in [/$] {{c1::[$]\mathbb{R}[/$]}},<div><br /><div>[$] sin(arctan(x)) = &nbsp;{{c2:: \frac{x}{\sqrt{1+x^{2} } } }} &nbsp;[/$]</div></div>",
"arctan est paire, impaire ?&nbsp;",impaire
"[$] \forall x \in {{c1::\mathbb{R}^{*} }}, &nbsp;[/$]<div><br /></div><div>[$] arctan(x) + arctan (\frac{1}{x}) =&nbsp;{{c2::\varepsilon \frac{\pi}{2} }} [/$]</div><div><br /></div><div>[$]&nbsp;&nbsp;\varepsilon&nbsp;[/$] = {{c3::signe de x}}</div>",
"[$] \forall x \in {{c1::\mathbb{R}^{*} }}, &nbsp;[/$]<div><br /></div><div>[$] arctan(x) + arctan (\frac{1}{x}) =&nbsp;{{c2::\varepsilon \frac{\pi}{2} }} [/$]</div><div><br /></div><div>[$]&nbsp;&nbsp;\varepsilon&nbsp;[/$] = {{c3::signe de x}}</div>",
"[$] \forall x \in {{c1::\mathbb{R}^{*} }}, &nbsp;[/$]<div><br /></div><div>[$] arctan(x) + arctan (\frac{1}{x}) =&nbsp;{{c2::\varepsilon \frac{\pi}{2} }} [/$]</div><div><br /></div><div>[$]&nbsp;&nbsp;\varepsilon&nbsp;[/$] = {{c3::signe de x}}</div>",
"<u>Définition du logarithme népérien&nbsp;</u><div><u><br /></u></div><div>[$] \forall x \in {{c1::]0, +\infty[}}, ln(x) =&nbsp;{{c2::&nbsp;\int_1^x \frac{1}{t} dt}} &nbsp;[/$]</div>",
"<u>Définition du logarithme népérien&nbsp;</u><div><u><br /></u></div><div>[$] \forall x \in {{c1::]0, +\infty[}}, ln(x) =&nbsp;{{c2::&nbsp;\int_1^x \frac{1}{t} dt}} &nbsp;[/$]</div>",
"[$] \forall x \in ]0, +\infty[, ln'(x) = {{c1:: \frac{1}{x} }} [/$]",
"[$] \forall (x,y) \in (]0, +\infty[)^{2}, &nbsp;ln(\frac{x}{y}) = {{c1::ln(x) - ln(y)}} [/$]",
"[$] \forall (x,y) \in (]0, +\infty[)^{2}, &nbsp;ln(xy) = {{c1::ln(x) + ln(y)}} [/$]",
[$$]&nbsp;\lim_{x \rightarrow {{c1::+\infty}} } \frac{ln(x)}{x} = {{c2::0}} [/$$]&nbsp;,
[$$]&nbsp;\lim_{x \rightarrow {{c1::+\infty}} } \frac{ln(x)}{x} = {{c2::0}} [/$$]&nbsp;,
"[$] \forall x \in ]0, +\infty[, ln(x)&nbsp;\leq {{c1::x-1}} [/$]",
"[$]\forall u \in \mathbb{R} , e^{u}&nbsp;\geq {{c1::1+u }} [/$]",
"<div>Définition de la fonction puissance :&nbsp;</div><div><br /></div>[$] \forall x \in {{c1::]0, +\infty[}} , f_{\alpha}(x) = x^{\alpha} = {{c2::e^{\alpha ln(x)} }}[/$]",
"<div>Définition de la fonction puissance :&nbsp;</div><div><br /></div>[$] \forall x \in {{c1::]0, +\infty[}} , f_{\alpha}(x) = x^{\alpha} = {{c2::e^{\alpha ln(x)} }}[/$]",
"[$] \forall x \in {{c1::\mathbb{R} }}, ch(x) = {{c2::\frac{ e^{x} + e^{-x} }{2} &nbsp;}}[/$]",
"[$] \forall x \in {{c1::\mathbb{R} }}, ch(x) = {{c2::\frac{ e^{x} + e^{-x} }{2} &nbsp;}}[/$]",
"[$] \forall x \in {{c1::\mathbb{R} }}, sh(x) = {{c2::\frac{ e^{x} - e^{-x} }{2} &nbsp;}}[/$]",
"[$] \forall x \in {{c1::\mathbb{R} }}, sh(x) = {{c2::\frac{ e^{x} - e^{-x} }{2} &nbsp;}}[/$]",
"[$] \forall x \in {{c1::\mathbb{R} }}, th(x) = {{c2::\frac{sh(x) }{ch(x)} &nbsp;}}[/$]",
"[$] \forall x \in {{c1::\mathbb{R} }}, th(x) = {{c2::\frac{sh(x) }{ch(x)} &nbsp;}}[/$]",
"[$] \forall x \in \mathbb{R}, ch(x)^{2} - sh(x)^{2} = {{c1::1}} [/$]",
"ch paire, impaire ?",paire
"sh paire, impaire ?",impaire
"th paire, impaire ?&nbsp;",impaire
"[$] \forall x \in \mathbb{R}, th'(x) = {{c1::\frac{1}{ch^{2}(x)} }} = {{c2::1 - th^{2}(x)}} [/$]",
"[$] \forall x \in \mathbb{R}, th'(x) = {{c1::\frac{1}{ch^{2}(x)} }} = {{c2::1 - th^{2}(x)}} [/$]",
[$$]&nbsp;\lim_{x \rightarrow {{c1::+\infty}} } ch(x) - sh(x) = {{c2::0&nbsp;}} [/$$],
[$$]&nbsp;\lim_{x \rightarrow {{c1::+\infty}} } ch(x) - sh(x) = {{c2::0&nbsp;}} [/$$],
"argsh paire, impaire ?",impaire
"argch paire, impaire ?",ni l'un ni l'autre
"[$] \forall x \in {{c2::\mathbb{R} }}, &nbsp;argsh'(x) = {{c1::\frac{1}{\sqrt{1+x^{2} } } }}[/$]",
"[$] \forall x \in {{c2::\mathbb{R} }}, &nbsp;argsh'(x) = {{c1::\frac{1}{\sqrt{1+x^{2} } } }}[/$]",
"[$] \forall x \in {{c2::]1, +\infty[ }}, &nbsp;argch'(x) = {{c1::\frac{1}{\sqrt{x^{2} - 1} } }}[/$]",
"[$] \forall x \in {{c2::]1, +\infty[ }}, &nbsp;argch'(x) = {{c1::\frac{1}{\sqrt{x^{2} - 1} } }}[/$]",
"[$] \forall x \in {{c1::\mathbb{R} }} ,argsh(sh(x)) = x [/$]",
"[$] \forall x \in {{c1::\mathbb{R} }} ,sh(argsh(x)) = x [/$]",
"[$] \forall x \in {{c1::&nbsp;]1, +\infty[&nbsp; }} , ch(argch(x)) = x [/$]",
"[$] \forall x \in {{c1::\mathbb{R} &gt; 0}} ,argch(ch(x)) = x[/$]",
"[$] \forall x \in \mathbb{R}, &nbsp;ch(argsh(x)) = {{c1::\sqrt{1+x^{2} } }} [/$]",
"[$] \forall x \in \mathbb{R} , sh(argch(x)) = {{c1::\sqrt{x^{2} - 1 } }} [/$]",
"<u>Expression logarithmique&nbsp;</u><div><br /></div><div>[$] \forall x \in ]1, +\infty[, argch(x) = {{c1::ln (x + \sqrt{x^{2} -1}) }} [/$]</div>",
"<div><u>Expression logarithmique&nbsp;</u></div><div><br /></div>[$] \forall x \in ]1, +\infty[, argth(x) = {{c1:: \frac{1}{2} ln (\frac{1+x}{1-x}) }} [/$]",
"<u>Expression logarithmique</u><div><u><br /></u></div><div>[$] \forall x \in \mathbb{R}, argsh(x) = {{c1::ln (x + \sqrt{1+x^{2} }) }} [/$]</div>",
"argth paire, impaire ?&nbsp;",impaire
"[$] \forall x \in &nbsp;{{c2::]-1, 1[}}, &nbsp;argth'(x)= {{c1::\frac{1}{1-x^{2} } }}[/$]",
"[$] \forall x \in &nbsp;{{c2::]-1, 1[}}, &nbsp;argth'(x)= {{c1::\frac{1}{1-x^{2} } }}[/$]",
[$] tan(\frac{\pi}{2} - x) = {{c1::\frac{1}{tan(x)} }} [/$],
[$] tan(\frac{\pi}{2} + x) = {{c1::\frac{-1}{tan(x)} }} [/$],
"<div><u>Définition 1er ordre&nbsp;</u></div><div><br /></div><div>Soit {{c1::I un intervalle de [$]\mathbb{R}&nbsp;[/$], a,b,c &nbsp;trois applications continues de I dans [$] &nbsp;\mathbb{K} [/$], a ne s'annulant pas sur I.&nbsp;}}</div><div><br /></div><div>Résoudre l'équation différentielle linéaire d'ordre 1 :&nbsp;</div><div><br /></div><div>{{c3::<div>(E) : a(x)y' + b(x)y = c(x)</div><div></div>}}</div><div>c'est&nbsp;{{c2::&nbsp;déterminer les applications [$] f: I &nbsp;\longrightarrow &nbsp;\mathbb{K} [/$] dérivables telles que&nbsp;</div><div><br /></div><div>&nbsp;[$] \forall x \in I [/$], a(x)f'(x) + b(x)f(x) = c(x)</div>}}",
"<div><u>Définition 1er ordre&nbsp;</u></div><div><br /></div><div>Soit {{c1::I un intervalle de [$]\mathbb{R}&nbsp;[/$], a,b,c &nbsp;trois applications continues de I dans [$] &nbsp;\mathbb{K} [/$], a ne s'annulant pas sur I.&nbsp;}}</div><div><br /></div><div>Résoudre l'équation différentielle linéaire d'ordre 1 :&nbsp;</div><div><br /></div><div>{{c3::<div>(E) : a(x)y' + b(x)y = c(x)</div><div></div>}}</div><div>c'est&nbsp;{{c2::&nbsp;déterminer les applications [$] f: I &nbsp;\longrightarrow &nbsp;\mathbb{K} [/$] dérivables telles que&nbsp;</div><div><br /></div><div>&nbsp;[$] \forall x \in I [/$], a(x)f'(x) + b(x)f(x) = c(x)</div>}}",
"<div><u>Définition 1er ordre&nbsp;</u></div><div><br /></div><div>Soit {{c1::I un intervalle de [$]\mathbb{R}&nbsp;[/$], a,b,c &nbsp;trois applications continues de I dans [$] &nbsp;\mathbb{K} [/$], a ne s'annulant pas sur I.&nbsp;}}</div><div><br /></div><div>Résoudre l'équation différentielle linéaire d'ordre 1 :&nbsp;</div><div><br /></div><div>{{c3::<div>(E) : a(x)y' + b(x)y = c(x)</div><div></div>}}</div><div>c'est&nbsp;{{c2::&nbsp;déterminer les applications [$] f: I &nbsp;\longrightarrow &nbsp;\mathbb{K} [/$] dérivables telles que&nbsp;</div><div><br /></div><div>&nbsp;[$] \forall x \in I [/$], a(x)f'(x) + b(x)f(x) = c(x)</div>}}",
"<u>Solutions de l'équation homogène.</u><div><br /></div><div>{{c1:: [$] S_{H}&nbsp;= \{ x &nbsp;&nbsp;\mapsto&nbsp; &nbsp;ky_{0}(x), k \in \mathbb{K} \} [/$]}}</div><div><br /></div><div>avec y<sub>o</sub>&nbsp;:{{c2:: &nbsp;[$]I &nbsp;\longrightarrow &nbsp;K [/$]</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; [$] x \mapsto e^{ - \int_{x_{o} }^{x} \frac{b(t)} {a(t)} dt } [/$]</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;}}</div><div><br /></div>",
"<u>Solutions de l'équation homogène.</u><div><br /></div><div>{{c1:: [$] S_{H}&nbsp;= \{ x &nbsp;&nbsp;\mapsto&nbsp; &nbsp;ky_{0}(x), k \in \mathbb{K} \} [/$]}}</div><div><br /></div><div>avec y<sub>o</sub>&nbsp;:{{c2:: &nbsp;[$]I &nbsp;\longrightarrow &nbsp;K [/$]</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; [$] x \mapsto e^{ - \int_{x_{o} }^{x} \frac{b(t)} {a(t)} dt } [/$]</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;}}</div><div><br /></div>",
"<u>Méthode de la variation de la constante (1er degré)</u><div><u><br /></u></div><div>On cherche une solution de (E) sous la forme {{c1::y = ky<sub>0</sub>&nbsp;avec [$]k \in D^{1}(I,\mathbb{K})[/$] puis on cherche à déterminer k}}</div>",
"<u>Ensemble des solutions d'une équation différentielle du 1er degré&nbsp;</u><div><u><br /></u></div><div>S<sub>E </sub>= {&nbsp;{{c1::&nbsp;[$]y_{p}&nbsp;+ ky_{0}, k \in \mathbb{K}[/$]&nbsp;}}&nbsp;}</div>",
"<u>Théorème de Cauchy-Lipschitz (ordre 1)</u><div><br /></div><div>{{c1::Pour tout [$](\alpha, \beta) \in I*\mathbb{K}[/$], il existe une unique solution y de (E) vérifiant &nbsp;[$]y(\alpha) = \beta&nbsp;[/$]}}</div>",
On dit que&nbsp;[$] f: I &nbsp;\longrightarrow &nbsp;\mathbb{C} [/$] est continue sur I si &nbsp;{{c1::Re(f) et Im(f) le sont.&nbsp;}},
"On dit que&nbsp;[$] f: I &nbsp;\longrightarrow &nbsp;\mathbb{C} [/$] est dérivable sur I si {{c1::Re(f) et Im(f) le sont.&nbsp;}} Dans ce cas, on pose :<div><br /></div><div>f' = {{c2::[Re(f)]' + i[Im(f)]'}}</div>",
"On dit que&nbsp;[$] f: I &nbsp;\longrightarrow &nbsp;\mathbb{C} [/$] est dérivable sur I si {{c1::Re(f) et Im(f) le sont.&nbsp;}} Dans ce cas, on pose :<div><br /></div><div>f' = {{c2::[Re(f)]' + i[Im(f)]'}}</div>",
"Soit [$] f: I &nbsp;\longrightarrow &nbsp;\mathbb{C} [/$] continue sur I et [$](a,b) \in I^{2}[/$]&nbsp;<div><br /></div><div>[$]\int_a^b f(t)dt = {{c1::\int_a^b Re(f)(t)dt + i\int_a^b Im(f)(t)dt }}[/$]</div>",
"<div><u>Définition 2eme ordre&nbsp;</u></div><div><br /></div><div>Soit {{c1::I un intervalle de [$]\mathbb{R} , (a,b,c) &nbsp;\in &nbsp;\mathbb{K}^{3}, a \neq 0, f: I &nbsp;\to &nbsp;\mathbb{K}\; continue. [/$] }}</div><div><br /></div><div>Résoudre l'équation différentielle linéaire d'ordre 2 à coefficients constants :&nbsp;</div><div><br /></div><div>{{c3::<div>(E) : ay'' + by' +cy = f(x)&nbsp;</div><div></div>}}</div><div>c'est&nbsp;{{c2::&nbsp;déterminer les applications [$] \varphi \in D^{2}(I, \mathbb{K}) [/$] tel que &nbsp;</div><div><br /></div><div>&nbsp;[$] \forall x \in I , a\varphi ''(x) + b(x)\varphi '(x) + c\varphi (x) = f(x)&nbsp;[/$]</div>}}",
"<div><u>Définition 2eme ordre&nbsp;</u></div><div><br /></div><div>Soit {{c1::I un intervalle de [$]\mathbb{R} , (a,b,c) &nbsp;\in &nbsp;\mathbb{K}^{3}, a \neq 0, f: I &nbsp;\to &nbsp;\mathbb{K}\; continue. [/$] }}</div><div><br /></div><div>Résoudre l'équation différentielle linéaire d'ordre 2 à coefficients constants :&nbsp;</div><div><br /></div><div>{{c3::<div>(E) : ay'' + by' +cy = f(x)&nbsp;</div><div></div>}}</div><div>c'est&nbsp;{{c2::&nbsp;déterminer les applications [$] \varphi \in D^{2}(I, \mathbb{K}) [/$] tel que &nbsp;</div><div><br /></div><div>&nbsp;[$] \forall x \in I , a\varphi ''(x) + b(x)\varphi '(x) + c\varphi (x) = f(x)&nbsp;[/$]</div>}}",
"<div><u>Définition 2eme ordre&nbsp;</u></div><div><br /></div><div>Soit {{c1::I un intervalle de [$]\mathbb{R} , (a,b,c) &nbsp;\in &nbsp;\mathbb{K}^{3}, a \neq 0, f: I &nbsp;\to &nbsp;\mathbb{K}\; continue. [/$] }}</div><div><br /></div><div>Résoudre l'équation différentielle linéaire d'ordre 2 à coefficients constants :&nbsp;</div><div><br /></div><div>{{c3::<div>(E) : ay'' + by' +cy = f(x)&nbsp;</div><div></div>}}</div><div>c'est&nbsp;{{c2::&nbsp;déterminer les applications [$] \varphi \in D^{2}(I, \mathbb{K}) [/$] tel que &nbsp;</div><div><br /></div><div>&nbsp;[$] \forall x \in I , a\varphi ''(x) + b(x)\varphi '(x) + c\varphi (x) = f(x)&nbsp;[/$]</div>}}",
"<u>Théorème de Cauchy-Lipschitz d'ordre 2&nbsp;</u><div><u><br /></u></div><div>{{c1::Pour tout [$](\alpha, \beta, \beta ') \in I*\mathbb{K}^{2} [/$], il existe une unique solution y de (E) vérifiant &nbsp;[$]y(\alpha) = \beta , y'(\alpha) = \beta '[/$]}}</div>",
"<u>Etude de l'équation homogène </u>&nbsp; (H) : ay'' + by' + cy = 0<div><br /></div><div>&nbsp;[$] \Delta \neq 0 [/$], L'équation caractéristique de (H) possède deux solutions distinctes r<sub>1</sub>&nbsp;et r<sub>2</sub><div><br /></div><div>S<sub>h</sub>&nbsp;= { {{c1::[$]x \mapsto \lambda_{1}e^{r_{1}x} +&nbsp;\lambda_{2}e^{r_{2}x}, (\lambda_{1},&nbsp;\lambda_{2} ) \in \mathbb{K}^{2}[/$]}} &nbsp;}<br /><div><u><br /></u></div><div><u><br /></u></div></div></div>",
"<u>Etude de l'équation homogène&nbsp;</u>&nbsp; (H) : ay'' + by' + cy = 0<div><br /></div><div>&nbsp;[$] \Delta = 0 [/$], L'équation caractéristique de (H) possède une seule solution r.&nbsp;<div><br /></div><div>S<sub>h</sub>&nbsp;= { {{c1::[$]x \mapsto (\lambda_{1} +&nbsp;\lambda_{2}x)e^{rx}, (\lambda_{1},&nbsp;\lambda_{2} ) \in \mathbb{K}^{2}[/$]}} &nbsp;}</div></div>",
"<u>Etude de l'équation homogène&nbsp;</u>&nbsp; (H) : ay'' + by' + cy = 0<div><br /></div><div>&nbsp;[$] \Delta &lt; 0 [/$], L'équation caractéristique de (H) possède deux solutions complexes conjuguées &nbsp;[$]r_1&nbsp;= \alpha + i\beta, r_2&nbsp;= \alpha - i\beta,(\alpha_{1},&nbsp;\alpha_{2} ) \in \mathbb{K}^{2}[/$]<div><br /></div><div>S<sub>h</sub>&nbsp;= { {{c1::[$]x \mapsto \lambda_{1}e^{\alpha x}cos(\beta x) +&nbsp;\lambda_{2}e^{\alpha x}sin(\beta x), (\lambda_{1},&nbsp;\lambda_{2} ) \in \mathbb{K}^{2}[/$]}} &nbsp;}</div></div>",
<u>Solution particulière de (E)</u>&nbsp; [$]ay'' + by' + cy = e^{\lambda x}P(x)[/$]&nbsp;<div><br /></div><div>[$] \lambda [/$] n'est pas solution de l'équation caractéristique.</div><div><br /></div><div>(E) possède une solution de la forme :</div><div><br /></div><div>{{c1::[$] x \mapsto&nbsp;e^{\lambda x}Q(x) [/$] avec Q = R polynôme de même degré que P.}}<br /><div><br /></div><div><br /></div></div>,
"<u>Solution particulière de (E)</u>&nbsp; [$]ay'' + by' + cy = e^{\lambda x}P(x)[/$]&nbsp;<div><br /></div><div>[$] \lambda [/$] est ""racine simple"" de l'équation caractéristique.</div><div><br /></div><div>(E) possède une solution de la forme :</div><div><br /></div><div>{{c1::[$] x \mapsto&nbsp;e^{\lambda x}Q(x) [/$] avec Q = XR &nbsp;et R polynôme de même degré que P.}}</div>",
"<u>Solution particulière de (E)</u>&nbsp; [$]ay'' + by' + cy = e^{\lambda x}P(x)[/$]&nbsp;<div><br /></div><div>[$] \lambda [/$] est ""racine double"" de l'équation caractéristique.</div><div><br /></div><div>(E) possède une solution de la forme :</div><div><br /></div><div>{{c1::[$] x \mapsto&nbsp;e^{\lambda x}Q(x) [/$] avec Q = X²R &nbsp;et R polynôme de même degré que P.}}</div>",
"On appelle arc paramétré&nbsp;{{c1::la donnée d'un couple[$] (I,\overrightarrow{F} )[/$] où&nbsp;<div>I est un intervalle de&nbsp;[$] &nbsp;\mathbb{R} [/$] et&nbsp;&nbsp;</div><div>[$]&nbsp;&nbsp;\overrightarrow{F} :I&nbsp;\to \mathbb{R}^{2} [/$]</div>}}<br /><div><br /></div><div><br /></div>",
"<div>Soit(I,&nbsp;[$] \overrightarrow{F} [/$] un arc paramétré),&nbsp;</div>On note&nbsp;[$] \overrightarrow{F} = x*y [/$] où&nbsp;&nbsp;<div>{{c2::[$]&nbsp;&nbsp;x,y :&nbsp;I &nbsp;\to &nbsp;\mathbb{R} [/$]}}</div><div><br /><div>Le plan est rapporté au ROND [$](O,&nbsp;\overrightarrow{i},&nbsp;\overrightarrow{j})[/$]</div><div><br /></div><div>Pour tout [$]t \in I[/$], on note &nbsp;M=M(t) définit par&nbsp;</div><div><br /></div><div>[$]\overrightarrow{OM} = {{c1::x(t)\overrightarrow{i} + y(t)\overrightarrow{j} =&nbsp;\overrightarrow{F}(t) = (x(t),y(t)) }}[/$]</div></div>",
